,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
434,0,0,0,0,0,0,0,0,0,32857,170.86,16.83,250.7
435,0,0,0,0,0,0,0,0,0,32857,142.42,15.69,251.2
436,7984,47520,12268,19824,0,0,10049959622,26852997800,10051512064,32857,126.39,15.04,251.6
437,0,0,0,0,0,0,0,0,0,32857,124.0,14.89,251.8
438,0,0,0,0,0,0,0,0,0,32857,128.39,15.07,211.8
439,0,0,0,0,0,0,0,0,0,32857,121.08,14.76,196.9
440,0,0,0,0,0,0,0,0,0,32857,128.56,15.03,196.7
441,12284,64188,13946,21688,0,0,10075686506,26338596420,10077251700,32857,125.56,15.06,197.2
442,0,0,0,0,0,0,0,0,0,32857,124.44,14.91,191.2
443,0,0,0,0,0,0,0,0,0,32857,126.26,14.92,201.6
444,0,0,0,0,0,0,0,0,0,32857,121.57,14.78,195.8
445,0,0,0,0,0,0,0,0,0,32857,128.36,15.01,195.8
446,9534,44060,12638,17664,0,0,8086001566,21385854920,8087598734,32857,123.07,14.81,196.0
447,0,0,0,0,0,0,0,0,0,32857,122.0,14.67,195.5
448,0,0,0,0,0,0,0,0,0,32857,128.36,15.06,200.8
449,0,0,0,0,0,0,0,0,0,32857,124.85,14.9,191.5
450,0,0,0,0,0,0,0,0,0,32857,131.03,15.2,191.9
451,14336,59830,18750,23680,0,0,10211761632,26306907686,10213155456,32857,123.12,14.7,199.2
452,0,0,0,0,0,0,0,0,0,32857,120.89,14.64,198.8
453,0,0,0,0,0,0,0,0,0,32857,127.78,15.03,199.4
454,0,0,0,0,0,0,0,0,0,32857,122.18,14.75,191.5
455,0,0,0,0,0,0,0,0,0,32857,128.03,14.92,191.7
456,11920,56524,16138,22992,0,0,10130145476,27139487964,10133759182,32857,119.33,14.73,198.5
457,9662,51502,13878,18676,0,0,8188331620,21732722206,8187653486,32857,121.05,14.64,193.3
458,0,0,0,0,0,0,0,0,0,32857,125.22,14.7,199.7
459,0,0,0,0,0,0,0,0,0,32857,118.38,14.51,187.3
460,0,0,0,0,0,0,0,0,0,32857,125.36,14.77,187.8
461,8174,49196,11604,20446,0,0,10079097674,26443799736,10081525352,32857,118.38,14.63,194.7
462,8010,42770,7308,13776,0,0,8116226400,21273106214,8117714402,32857,122.01,14.74,187.8
463,12204,53570,13360,21122,0,0,10124090188,26907395744,10125493564,32857,124.83,14.76,195.3
464,0,0,0,0,0,0,0,0,0,32857,115.49,14.22,187.3
465,0,0,0,0,0,0,0,0,0,32857,126.14,14.85,187.8
466,10888,46382,10698,17890,0,0,8074935682,21465224952,8076379390,32857,119.22,14.66,194.5
467,6569348,12358656,1203884,2131306,0,0,4956361986,7594136592,5171063734,32857,122.67,14.73,184.0
468,9312,48572,10610,17504,0,0,8100841776,21279130534,8100875896,32857,124.62,14.68,196.1
469,0,0,0,0,0,0,0,0,0,32857,115.07,14.25,188.6
470,0,0,0,0,0,0,0,0,0,32857,126.93,14.84,189.0
471,10840,57612,15042,25242,0,0,10093554044,26384692158,10095818460,32857,118.62,14.58,194.2
472,0,0,0,0,0,0,0,0,0,32857,123.47,14.65,182.4
473,0,0,0,0,0,0,0,0,0,32857,123.65,14.67,196.4
474,0,0,0,0,0,0,0,0,0,32857,117.54,14.5,186.8
475,0,0,0,0,0,0,0,0,0,32857,128.41,14.99,192.2
476,7912,318314,17126,58922,0,0,9312103220,20665160258,9324553732,32857,118.57,15.06,192.2
477,7114,238330,13346,51554,0,0,7264354038,15918395474,7277447508,32857,127.07,15.0,185.6
478,13762,421486,11618,79722,0,0,10075179574,22234537552,10084840678,32857,126.05,14.96,198.1
479,0,0,0,0,0,0,0,0,0,32857,124.76,15.04,187.4
480,0,0,0,0,0,0,0,0,0,32857,132.79,15.34,196.3
481,9002,241870,7094,35134,0,0,7165530180,15794035986,7160212774,32857,117.25,14.36,196.2
482,11294,412904,10246,59932,0,0,9664876504,20648335022,9659971720,32857,129.94,15.26,195.9
483,12706,307364,10296,55492,0,0,7060559700,15752978908,7048214434,32857,128.22,15.22,203.3
484,0,0,0,0,0,0,0,0,0,32857,128.76,15.35,185.4
485,0,0,0,0,0,0,0,0,0,32857,134.5,15.56,199.7
486,13032,457746,23754,114582,0,0,8952366386,19996706904,8984126402,32857,120.03,14.62,199.5
487,0,0,0,0,0,0,0,0,0,32857,125.86,14.94,199.4
488,0,0,0,0,0,0,0,0,0,32857,124.5,14.81,205.8
489,0,0,0,0,0,0,0,0,0,32857,122.76,14.78,189.3
490,0,0,0,0,0,0,0,0,0,32857,129.05,15.18,189.9
491,25606,512002,22684,85952,0,0,9129556412,19849765998,9129940106,32857,121.34,15.07,190.3
492,0,0,0,0,0,0,0,0,0,32857,123.8,14.73,190.4
493,66187268,887015314,32272944,189476708,0,0,172019926388,67660894736,172426822416,32857,120.38,14.48,198.9
494,0,0,0,0,0,0,0,0,0,32857,117.77,14.29,190.6
495,0,0,0,0,0,0,0,0,0,32857,128.14,15.03,190.7
496,7676,334148,6682,64224,0,0,9817974686,21755321876,9833223058,32857,122.0,14.96,190.6
497,64827490,936976454,31910608,195678214,0,0,179469651060,70244034684,180034259084,32857,126.88,15.05,183.0
498,51065618,726348724,25157342,156291630,0,0,140885679998,54798083026,141159589818,32857,124.52,14.91,197.7
499,0,0,0,0,0,0,0,0,0,32857,121.46,14.9,190.9
500,0,0,0,0,0,0,0,0,0,32857,128.95,15.08,191.4
501,46968,971372,45686,160690,0,0,7718846086,17061517570,7712759148,32857,121.17,14.83,191.8
502,63373556,885745846,33104460,192725310,0,0,173055575898,67450295504,173528700224,32857,126.37,14.92,191.4
503,63969686,942681630,32748838,202576532,0,0,180934540978,70942669536,181465870366,32857,122.44,14.76,198.9
504,0,0,0,0,0,0,0,0,0,32857,122.97,14.73,189.7
505,0,0,0,0,0,0,0,0,0,32857,128.63,15.02,195.2
506,27778,509900,17964,65764,0,0,7145553522,15652652412,7137964360,32857,118.03,14.61,194.8
507,66916394,959652162,33268566,203552782,0,0,183193097392,72166643288,183683017982,32857,127.31,14.97,194.1
508,55906592,716346508,26058470,148397368,0,0,135834459648,53007687206,136192291984,32857,145.12,15.71,194.7
509,0,0,0,0,0,0,0,0,0,32857,178.09,17.04,186.8
510,0,0,0,0,0,0,0,0,0,32857,179.01,16.85,195.2
511,9940,485842,13148,103370,0,0,8443859540,18564351224,8452960056,32857,178.61,16.88,219.1
512,62375826,933643330,32774090,200435916,0,0,181276851100,71034582008,181856053356,32857,177.41,16.97,261.2
513,19230,357600,20260,84692,0,0,6510437194,14521960480,6512695436,32857,179.12,16.85,261.3
514,0,0,0,0,0,0,0,0,0,32857,178.45,16.98,261.4
515,0,0,0,0,0,0,0,0,0,32857,177.42,16.77,261.3
516,18658,498192,16236,85864,0,0,8347216422,18517240708,8337218262,32857,177.57,16.83,261.4
517,48948026,712175546,24543436,153430944,0,0,136572986854,53834459760,137112318640,32857,179.0,16.94,261.5
518,0,0,0,0,0,0,0,0,0,32857,177.58,16.99,261.3
519,0,0,0,0,0,0,0,0,0,32857,177.89,16.89,261.3
520,0,0,0,0,0,0,0,0,0,32857,178.72,17.03,261.4
521,7476,35842,3746,7964,0,0,7782782820,11667899750,7779410960,32857,178.43,16.93,261.3
522,0,0,0,0,0,0,0,0,0,32857,177.8,17.02,261.3
523,0,0,0,0,0,0,0,0,0,32857,178.44,16.99,261.4
524,0,0,0,0,0,0,0,0,0,32857,178.56,16.93,261.5
525,0,0,0,0,0,0,0,0,0,32857,178.03,16.94,261.4
526,5572,181604,6022,28064,0,0,7349886298,14948240128,7356933820,32857,179.15,16.99,261.4
