,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
189,8740,1233458,111,40801,0,0,133948287,138047333,40.16,5.05,187935814,128.3
190,7203,883715,205,22113,56,28672,123855247,116539153,40.26,4.97,143549347,128.3
191,1236,771592,242,25620,0,0,56074217,76083046,40.1,4.95,136237468,128.3
192,113934,1506506,8302,54938,440,225280,206867909,207232264,40.12,5.15,219874989,128.4
193,7896,912767,1394,71138,0,0,129769855,142526338,40.18,5.1,177665369,128.4
194,4028,751304,710,34668,0,0,139036099,129597469,40.23,4.98,162768883,128.3
195,1079,721325,214,54854,0,0,130301480,116040424,40.63,4.93,135230103,128.3
196,1617,931672,272,60847,0,0,122534345,132823400,40.61,4.98,194604238,128.4
197,91613,1041156,6010,112097,272,139264,227765019,218705153,40.33,5.18,247241881,128.4
198,16311,866318,1041,48652,0,0,125407579,142230947,40.23,5.07,180079407,128.4
199,5191,676249,367,33193,0,0,113019340,107720620,40.45,4.97,127311877,128.4
200,2496,851383,161,67914,0,0,112068545,123314362,40.66,4.93,156819043,128.4
201,1435,714565,110,27928,112,57344,98078204,115994723,40.54,4.92,140805796,128.5
202,71770,1095158,4200,83238,552,282624,168683502,183444721,40.26,5.22,207559049,128.6
203,19288,1232756,777,58421,0,0,176662207,196705385,40.48,5.12,259072307,128.6
204,4103,672259,133,38075,0,0,99070556,97401818,40.62,5.01,140787007,128.5
205,1262,563663,145,39233,0,0,129658410,125800583,40.68,4.95,147097975,128.4
206,3953,890073,351,46561,0,0,123792131,127806160,40.79,4.94,171144721,128.4
207,79494,1291739,4721,44621,272,139264,194583656,214638411,40.6,5.15,219572408,128.5
208,19442,808834,463,48991,0,0,118637558,135653623,40.63,5.12,167175253,128.6
209,6991,904856,133,57934,0,0,152969760,142999985,40.68,4.98,170593428,128.4
210,4785,978025,167,46698,0,0,187454994,178050743,40.86,4.97,205168500,128.3
211,1254,793577,125,38722,0,0,131127801,120769777,40.71,4.95,155708746,128.3
212,46719,1462190,7812,47536,328,167936,190982637,196732025,40.6,5.18,218909540,128.3
213,11647,827561,466,41738,0,0,110497722,119636815,40.6,5.08,162908912,128.3
214,5576,1309675,250,66354,0,0,148966571,148673636,40.7,4.98,223069956,128.1
215,5318,675593,175,46096,0,0,75094923,64829367,40.65,4.97,109037625,128.0
216,5620,865878,125,47088,39256,20099072,136622570,125903415,40.62,4.97,162236838,128.1
217,119384,1239548,4175,113402,384,196608,232339239,256408581,40.61,5.24,281094431,128.1
218,13432,1017090,281,33159,0,0,126075870,131674391,40.77,5.12,171834468,128.2
219,4921,718391,144,34806,0,0,88088920,99507979,40.77,5.0,143978205,128.1
220,1461,808204,191,52944,0,0,105363411,98379473,40.62,4.91,141652050,128.0
221,4504,987438,579,45327,112,57344,163283699,160260569,40.59,4.94,192578127,128.2
222,82414,1273200,14593,122867,664,339968,238695917,240983101,40.3,5.24,290648417,128.2
223,13289,901106,689,39491,0,0,159934299,154332887,40.25,5.16,192363926,128.1
224,9025,902792,69,21693,0,0,109312748,131429699,40.03,4.99,165153082,128.3
225,2835,1118609,65,54539,0,0,126516972,151976773,39.88,4.96,211346949,128.3
226,10626,804230,65,46788,0,0,87288748,120672147,39.69,4.95,161492166,128.4
227,86833,1353791,4966,88736,272,139264,169825492,148909806,39.52,5.19,256891830,128.4
228,9246,695556,259,39246,0,0,88257637,112119095,39.45,5.09,142513804,128.4
229,11616,1108927,222,52355,0,0,171712250,167115609,39.61,5.05,211652151,128.5
230,3981,871674,223,55141,0,0,141407091,121848798,39.67,4.99,143451157,128.5
231,3338,755095,174,37315,0,0,101396357,85638492,39.67,4.96,139517619,128.6
232,91915,1317081,582,76338,328,167936,182367020,193238926,39.46,5.18,245919866,128.6
233,15695,1014748,645,38915,0,0,136717990,142376720,39.5,5.1,185495290,128.7
234,1982,770397,204,49913,0,0,65118541,64277330,39.57,4.96,102515464,128.8
235,793,691726,183,25981,0,0,134773985,118482976,39.86,4.91,132249606,128.7
236,1653,1071867,324,40893,0,0,137550033,128133916,39.84,4.96,191495296,128.7
237,69524,1280315,1183,51856,272,139264,150015259,175780259,40.52,5.16,216627028,128.8
238,6147,885772,1163,32660,0,0,101629308,105848670,40.51,5.08,145320950,128.8
239,15655,1120953,1943,63418,0,0,188528869,181427532,39.97,5.06,214027653,128.7
240,6236,793898,247,36709,0,0,108091358,102185267,39.81,4.97,151057087,128.7
241,1246,745310,77,34467,0,0,103386339,103853529,39.94,5.0,147922710,128.7
242,88916,1112976,7419,68879,328,167936,147661807,173958640,40.06,5.2,192386867,128.7
243,18626,1217258,1457,82604,0,0,195429527,192212401,39.97,5.19,240852695,128.8
244,2490,709327,140,61178,0,0,135715205,129526070,39.53,5.11,159556420,128.8
245,783,679166,77,44622,0,0,88355742,77552799,39.57,5.01,131148305,128.8
246,4280,893312,123,33802,0,0,125363808,129945466,39.5,4.92,173919831,128.9
247,58224,1215539,6046,74948,39392,20168704,162601251,187470922,39.52,5.2,221666513,128.9
248,7852,975506,1106,44633,0,0,107727707,127884171,39.49,5.06,188043680,128.9
249,5404,921640,233,54075,0,0,136266873,128410639,39.43,4.99,186325410,128.8
250,1491,743361,95,47389,0,0,145690104,121841178,39.32,4.97,147340093,128.8
251,834,713642,113,46784,0,0,87963647,97376873,39.32,4.93,128746360,128.9
252,55433,906828,3641,48990,440,225280,165283533,171385015,39.55,5.17,200418359,128.9
253,26639,1545205,2201,98696,0,0,231402534,213687530,40.09,5.09,258175463,128.8
254,1770,749361,180,37487,0,0,132984146,114215031,40.06,5.0,148278620,128.9
255,1033,691850,213,30390,0,0,92450792,76978155,39.25,4.94,125613039,128.9
256,3019,1047320,171,54857,0,0,173349205,153292599,39.19,4.95,182750965,128.9
257,126673,1350442,12275,75856,328,167936,199114589,262655535,39.32,5.28,261466784,128.9
258,11652,880764,489,35611,0,0,96961204,120494119,39.4,5.1,174439532,128.9
259,8697,784191,224,36646,0,0,111000674,128210725,39.42,4.97,169367867,129.0
260,14883,1065717,190,51603,0,0,114806606,113319716,39.9,4.97,174525511,129.0
261,958,751360,97,39687,0,0,123030158,109140109,39.99,4.93,148803904,129.0
262,91722,1169238,5581,93489,328,167936,171129950,206947258,40.56,5.21,228999081,129.0
263,24068,1221877,409,38843,0,0,200160399,185067238,40.56,5.11,216222410,129.0
264,5605,567846,296,68865,0,0,164427712,144457114,39.82,5.03,172847696,129.1
265,1210,763249,185,50362,0,0,134886123,120949566,39.73,4.93,144400505,129.1
266,899,701804,243,34937,0,0,125630246,124788308,40.23,4.95,159303436,129.2
267,101183,1616989,5727,66618,272,139264,204073993,214926521,40.53,5.23,284168725,129.2
268,13678,798098,147,39790,0,0,93438547,137022966,40.34,5.13,172700713,129.2
269,3686,662683,92,53226,0,0,134638347,110802075,39.55,4.92,156350935,129.2
270,2564,797981,109,50621,0,0,158877647,149235005,39.52,4.95,197073245,129.3
271,4099,816861,126,29694,0,0,132491491,130539577,40.0,4.9,159898547,129.3
272,57834,1316985,4927,76535,328,167936,219819319,216406295,40.35,5.14,251646559,129.3
273,10018,906718,313,54410,0,0,147927171,136862431,40.05,5.05,171109260,129.3
274,3768,960809,38,63843,0,0,171722725,155808223,39.22,4.98,191556218,129.3
275,8910,1096245,1441,34876,0,0,175438658,170273868,39.25,5.01,195768944,129.3
276,1672,791248,203,52796,0,0,98895187,120797585,39.95,4.95,155616998,129.4
277,84431,1333108,5793,50242,38728,19828736,196798064,197640180,40.39,5.17,235527737,129.4
278,63741,1260144,346,46398,0,0,189815776,192497877,39.95,5.13,223170131,129.4
279,4247,710495,63,29721,0,0,109853659,111524543,39.18,4.98,145589190,129.4
280,2609,741568,100,37259,0,0,110384784,104040854,40.08,4.91,131754257,129.3
281,1991,962187,130,64916,0,0,111289660,140684657,40.3,4.94,191979030,129.4
282,87417,1274321,4614,73824,552,282624,222431779,216297459,39.63,5.18,238031958,129.3
283,17463,719972,439,73405,0,0,144724197,138282691,39.2,5.11,193300900,129.2
284,4010,660765,38,47409,0,0,105922544,120056709,39.92,5.01,149477169,129.1
285,2234,1037368,43,34319,0,0,103145378,131321942,40.14,4.94,171375562,129.0
286,5247,777048,272,50752,0,0,74205423,103634609,39.57,4.96,136667663,129.0
287,87209,1062124,338,70865,272,139264,180616214,203713807,39.28,5.17,210764247,129.0
288,21596,1164490,222,60619,0,0,151170688,144676306,39.23,5.03,220520635,128.9
289,10144,711238,200,42108,0,0,113094807,111211525,40.41,5.06,152628739,128.8
290,2132,887229,131,11690,0,0,99011906,111258595,40.58,4.94,151189290,128.8
291,1834,914398,185,38616,0,0,127803571,119258989,39.78,4.92,163851048,128.8
292,78022,1285915,4986,64582,328,167936,190391769,197165960,39.3,5.15,237299202,128.7
293,20150,1030947,470,49789,56,28672,144197006,156307777,39.22,5.12,191944148,128.7
294,7897,813209,887,32965,0,0,89238969,104171452,40.48,5.03,151906672,128.6
295,2592,969744,261,42564,0,0,128044481,144831812,40.52,4.99,159833061,128.6
296,3007,706470,118,50351,0,0,128114181,115659505,40.12,4.95,155133205,128.7
297,100178,1271167,160,83891,272,139264,196495511,225550556,39.93,5.18,240123027,128.8
298,18711,1112438,754,38890,0,0,133933831,146977664,39.92,5.07,198059908,128.7
299,7440,706969,110,51048,0,0,111026795,109184324,39.98,4.98,157333336,128.7
300,1472,827701,166,38341,0,0,99740378,111323497,40.0,4.91,142785126,128.7
301,2416,779268,178,35535,0,0,86346689,96923776,40.18,4.9,122124819,128.8
302,68324,1639851,6957,87699,328,167936,228262176,221645277,40.57,5.15,275162340,128.8
303,12299,915052,314,58613,0,0,127402613,122580364,40.6,5.1,158906695,128.7
304,3253,763356,142,42283,0,0,124419722,105044847,40.08,4.95,134591140,128.7
305,1534,935170,547,45269,0,0,161890301,157717773,40.09,4.94,195016307,128.6
306,34789,801005,138,18225,0,0,94753998,135329972,40.54,4.99,148249783,128.7
307,83281,1401293,7777,84952,272,139264,187007362,229172550,40.54,5.2,247841147,128.6
308,13748,766035,282,35541,37880,19394560,118424381,105174140,40.35,5.06,163228798,128.5
309,6631,1168101,571,49349,0,0,159298330,176327499,40.1,5.05,220430519,128.4
310,1774,707574,1226,47610,0,0,99896726,114454641,40.1,4.97,146358916,128.3
311,3691,687467,214,44552,0,0,149975858,152876419,40.39,5.0,168610703,128.3
312,90586,1114155,4728,60124,552,282624,197279896,195175339,40.59,5.22,222086042,128.4
313,43052,1314364,1699,76248,0,0,250310672,214301312,40.25,5.1,262187086,128.4
314,3190,558096,94,37196,0,0,102048596,106267155,39.44,5.01,137614241,128.3
315,10471,806832,362,48210,0,0,131155836,120861968,39.44,4.97,161054457,128.2
316,2194,784070,155,38480,0,0,138091985,154417603,39.89,4.95,178818119,128.2
317,82158,1153721,8531,82240,272,139264,209141139,214771877,40.56,5.17,238411826,128.2
318,19588,823183,143,45761,0,0,135825747,126525852,40.56,5.11,172553919,128.2
319,5706,957080,551,38155,0,0,138895022,142751519,39.43,5.0,198597104,128.2
320,2747,779724,417,42044,0,0,127781064,118954973,39.58,4.98,151546278,128.2
321,3593,716453,170,55111,0,0,73481622,100523650,40.52,4.96,134391363,128.4
322,68012,1027364,4296,55094,328,167936,186904699,192226718,40.53,5.19,216243356,128.5
323,30812,1259195,257,74200,56,28672,216702776,206966892,39.65,5.1,242964260,128.5
