,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
380,380,664550,5468662,110402,454918,0,0,2010759810,3566463458,2257814340,63.85,12.9,122.0
381,381,712912,6379370,154742,521486,0,0,1920125642,3128872126,2123848290,63.43,12.99,121.9
382,382,896304,5561832,101778,529368,0,0,2310897686,3859665304,2414228500,62.29,12.86,122.0
383,383,271650,1774630,62992,158506,384,196608,1377555600,2689594662,1502511500,61.95,12.62,122.0
384,384,682246,5354080,86364,468702,56,28672,2104336360,3746057420,2295903854,64.23,12.84,122.1
385,385,741168,4395666,104916,429674,11312,5791744,1743863210,2840204336,1854138836,64.12,12.98,122.0
386,386,1245266,6788712,169250,615756,0,0,2103554930,3318534188,2278007708,63.64,12.96,122.0
387,387,786270,5147322,146586,586292,0,0,2269313002,3839732726,2458185146,63.08,12.88,121.8
388,388,794752,5381790,155404,383230,944,483328,2049386024,3570993256,2183623496,63.42,12.75,121.7
389,389,707474,5611942,135106,465648,0,0,2064455506,3531165394,2240204526,62.76,12.77,121.6
390,390,708670,5491072,129802,358244,112,57344,1799251862,2980658988,1968283664,63.97,12.91,121.5
391,391,1361844,6893866,190828,564272,0,0,2513589268,4205787716,2658943590,62.64,12.74,121.5
392,392,618670,4227604,124878,391062,0,0,1703948654,3024550842,1890410482,62.51,12.62,121.4
393,393,729778,5863612,122354,406238,552,282624,2175745466,3756585348,2324394104,61.09,12.52,121.5
394,394,359342,2536292,65390,295734,0,0,1506579318,2776942742,1607569026,64.36,12.82,121.3
395,395,695452,5499438,113778,378514,0,0,1894906938,3380584478,2051032374,64.29,12.87,121.3
396,396,1012024,6391634,165084,536546,0,0,2193360856,3789900258,2470726320,63.7,12.85,121.3
397,397,665862,5582572,107022,383042,0,0,1936494432,3437190486,2110913728,63.6,12.93,121.1
398,398,760002,5022372,107680,542750,0,0,2169041688,3727145584,2342341756,63.35,12.93,121.0
399,399,752772,5328696,91714,398096,384,196608,1931807496,3290548368,2034197174,63.64,12.95,121.0
